"Path","InEditorFolder","Namespace","Suggest","Status","UsesUnityEditor","MenuItemAttr","EditorWindow","MonoBehaviour","ScriptableObj"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\LeadRequirementsHUD.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\LeadsBarView.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\LeadsRepository.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\LeadsRuntimeBus.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\Runtime\LeadCardData.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\Runtime\LeadsBarRuntimeBinder.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Leads\Runtime\LeadsRuntimeGlue.cs","False","AQ.App.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Presentation\EventBusInstaller.cs","False","AQ.App.Presentation","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Presentation\GlobalBus.cs","False","AQ.App.Presentation","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Presentation\MergeEventsBridge.cs","False","AQ.App.Presentation","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Presentation\MergeEventsToUI.cs","False","AQ.App.Presentation","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Save\ISaveService.cs","False","AQ.App.Save","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Save\JsonSaveService.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Save\SaveLoadDriver.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\Save\SaveState.cs","False","AQ.App.Save","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Board\BoardInputAdapter.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Board\BoardPresenter.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Board\FlashOnceMB.cs","False","AQ.App.UI","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Board\MergeItemView.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Config\UIContracts.cs","False","","Runtime","OK","False","False","False","False","True"
